recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max
003bec244,14,1,44.544,2531.25,45.1307,5531.25
006ab765f,23,1,39.9615,7235.16,46.0452,11283.4
007f87ba2,12,1,39.136,562.5,42.272,3281.25
0099c367b,17,4,51.4206,1464.26,55.1996,4565.04
009b760e6,10,1,50.0854,947.461,52.5293,10852.7
00b404881,8,1,0.0747,3750,4.1973,5531.25
00d442df7,0,1,19.3653,5906.25,20.16,8250
011f25080,18,1,5.6853,3187.5,6.3787,5062.5
015113cad,15,1,50.0533,93.75,53.3973,1125
0151b7d20,1,1,46.032,3843.75,46.928,5625
01b41f92b,6,1,44.24,562.5,46.384,4406.25
0201197ec,10,1,43.3575,947.461,45.8014,10852.7
0209f7ab2,7,1,50.7573,4687.5,53.8987,11437.5
0268057eb,0,1,25.4987,5906.25,26.2933,8250
0275e127d,11,1,11.9989,1808.79,13.1367,5684.77
0295e3234,11,1,5.1606,1808.79,6.2984,5684.77
0297d886e,13,1,57.808,93.75,58.432,843.75
02b9a8ab9,12,1,33.9093,562.5,37.0453,3281.25
0313e82cf,16,4,21.472,3093.75,23.3067,4593.75
03b96f209,16,4,30.9333,3093.75,32.768,4593.75
03b96f209,16,4,49.632,3093.75,51.4667,4593.75
03d77fede,0,1,44.4107,5906.25,45.2053,8250
043356ff8,18,1,0.1227,3187.5,0.816,5062.5
04975ecd8,19,1,54.384,281.25,55.936,2812.5
04d6b1fc1,17,4,4.7307,1406.25,7.3387,3937.5
04e70a8e3,7,1,23.5947,4687.5,26.736,11437.5
0509303a5,6,1,23.7013,562.5,25.8453,4406.25
050d0ca85,3,1,49.92,1031.25,50.6613,2812.5
053aeb7bd,23,4,9.8569,6459.96,17.7807,11627.9
053aeb7bd,23,4,0.952,6459.96,8.8758,11627.9
055088446,14,1,58.992,3750,59.264,6468.75
055d22517,10,1,47.5835,947.461,50.0274,10852.7
057802c25,11,1,4.2202,1808.79,5.358,5684.77
05b9c974c,2,1,31.984,468.75,33.76,3000
05f8c0f2f,4,1,26.5867,2343.75,28.4427,4218.75
067f49f8b,0,1,53.296,5906.25,54.0907,8250
068f1b8e2,12,1,22.864,562.5,26,3281.25
06a0c48c9,0,1,57.2213,5906.25,58.016,8250
06c44d203,3,1,1.28,1031.25,2.0213,2812.5
073e4d908,12,1,12.496,562.5,15.632,3281.25
078788674,15,1,41.36,93.75,44.704,1125
07d1687e0,8,1,0.064,3750,4.1867,5531.25
07dcf40f7,10,1,27.237,947.461,29.6809,10852.7
07f1227b0,1,1,32.9387,3843.75,33.8347,5625
08db743d0,16,4,38.3787,3093.75,40.2133,4593.75
090ae427d,7,1,26.1387,4687.5,29.28,11437.5
09315d9bf,22,1,49.696,10687.5,51.3013,13687.5
0968aea09,12,1,5.7707,562.5,8.9067,3281.25
09a946316,23,1,50.4744,7235.16,56.558,11283.4
0a350d11c,19,1,11.5253,281.25,13.0773,2812.5
0a9cdd8a5,7,1,22.2827,4687.5,25.424,11437.5
0ab6aa734,9,1,49.4773,843.75,53.04,5718.75
0b2fa3f80,12,1,3.0133,562.5,6.1493,3281.25
0b3ef9c4e,6,1,44.3733,562.5,46.5173,4406.25
0c2124550,21,1,18.2293,3281.25,19.3227,4125
0c448e77c,17,4,36.2638,1464.26,40.0428,4565.04
0c48ed342,17,1,50.032,1312.5,56.4853,3937.5
0c936a1d4,17,4,48.2453,1406.25,50.8533,3937.5
0cb4632d6,13,1,47.1467,93.75,47.7707,843.75
0d25045a9,1,1,47.2693,3843.75,48.1653,5625
0e034f968,2,1,1.8933,468.75,3.6693,3000
0e29d05ed,15,1,31.936,93.75,35.28,1125
0e2e4ac19,2,1,44.56,468.75,46.336,3000
0e799da44,18,1,24.6027,3187.5,25.296,5062.5
0ea8ea68a,0,1,3.8027,5906.25,4.5973,8250
0eb2079ea,3,1,5.5893,1031.25,6.3307,2812.5
0f8cadb4a,13,1,34.4907,93.75,35.1147,843.75
0f99800b7,11,1,27.417,1808.79,28.5547,5684.77
0fc62dd3c,18,1,9.6427,3187.5,10.336,5062.5
100e4ddc9,2,1,1.2853,468.75,3.0613,3000
103db6411,20,1,22.3573,1312.5,27.7387,6093.75
10dae79ed,18,1,30.192,3187.5,30.8853,5062.5
119b154cc,15,1,3.7813,93.75,7.1253,1125
11a52d37a,18,1,46.0693,3187.5,46.7627,5062.5
11bafff5d,23,1,22.6278,7235.16,28.7115,11283.4
11c2c02e5,15,1,17.6587,93.75,21.0027,1125
11c2c02e5,15,1,14.8427,93.75,18.1867,1125
1263c23c8,17,1,38.9013,1312.5,45.3547,3937.5
